 Energy(MeV)              Prob_ee
 1.00856475239877e-001    5.43564356435644e-001
 1.04213097186755e-001    5.43564356435644e-001
 1.14343492494911e-001    5.44554455445545e-001
 1.20756073033550e-001    5.44554455445545e-001
 1.32493563069384e-001    5.44554455445545e-001
 1.39161532614600e-001    5.43564356435644e-001
 1.51857151182651e-001    5.43564356435644e-001
 1.58632902633758e-001    5.43564356435644e-001
 1.73103545966878e-001    5.42574257425743e-001
 1.82811491787109e-001    5.42574257425743e-001
 1.98402176990133e-001    5.41584158415842e-001
 2.08388720750998e-001    5.41584158415842e-001
 2.27399891890264e-001    5.41584158415842e-001
 2.40151017094169e-001    5.40594059405941e-001
 2.60631780486556e-001    5.39603960396040e-001
 2.75248460866274e-001    5.39603960396040e-001
 2.98722434324027e-001    5.38613861386139e-001
 3.15475304356279e-001    5.38613861386139e-001
 3.42379937710918e-001    5.37623762376238e-001
 3.61578405294904e-001    5.36633663366337e-001
 3.90279439641229e-001    5.35643564356436e-001
 4.12166984657274e-001    5.35643564356436e-001
 4.49765246617046e-001    5.34653465346535e-001
 4.77584060540248e-001    5.33663366336634e-001
 5.12688125342229e-001    5.32673267326733e-001
 5.44394634310085e-001    5.30693069306931e-001
 5.90817600866361e-001    5.28712871287129e-001
 6.23951672307895e-001    5.28712871287129e-001
 6.73473929979470e-001    5.26732673267327e-001
 7.11238021823797e-001    5.25742574257426e-001
 7.76111836525104e-001    5.23762376237624e-001
 8.15171017739221e-001    5.22772277227723e-001
 8.94391833122229e-001    5.20792079207921e-001
 9.34291710752526e-001    5.19801980198020e-001
 1.01394729453623e+000    5.15841584158416e-001
 1.07079468126763e+000    5.13861386138614e-001
 1.15577338508424e+000    5.10891089108911e-001
 1.22725063877433e+000    5.08910891089109e-001
 1.31742726198732e+000    5.04950495049505e-001
 1.39890178271825e+000    5.02970297029703e-001
 1.50989589364791e+000    4.98019801980198e-001
 1.59454884972648e+000    4.96039603960396e-001
 1.71171402061618e+000    4.92079207920792e-001
 1.79780351088417e+000    4.87128712871287e-001
 1.95106508625542e+000    4.82178217821782e-001
 2.04922420645459e+000    4.79207920792079e-001
 2.21180026555403e+000    4.73267326732673e-001
 2.32305918181822e+000    4.69306930693069e-001
 2.52105954526739e+000    4.62376237623762e-001
 2.64785451719220e+000    4.57425742574257e-001
 2.82690388425149e+000    4.51485148514852e-001
 2.96905817380468e+000    4.45544554455446e-001
 3.16980304303790e+000    4.38613861386139e-001
 3.32922612711525e+000    4.33663366336634e-001
 3.57374257661816e+000    4.25742574257426e-001
 3.75348152428381e+000    4.20792079207921e-001
 4.00723213743002e+000    4.12871287128713e-001
 4.20874066438932e+000    4.06930693069307e-001
 4.49326864654475e+000    3.99009900990099e-001
 4.71918168637572e+000    3.92079207920792e-001
 5.01083977394406e+000    3.85148514851485e-001
 5.29161127601735e+000    3.79207920792079e-001
 5.61860368377909e+000    3.71287128712871e-001
 5.93347570772987e+000    3.66336633663366e-001
 6.33460279179400e+000    3.58415841584158e-001
 6.68960010326745e+000    3.53465346534653e-001
 7.14189939123730e+000    3.46534653465347e-001
 7.50109635447512e+000    3.41584158415842e-001
 8.05214190337705e+000    3.35643564356436e-001
 8.50345740845745e+000    3.31683168316832e-001
 9.12820885660428e+000    3.26732673267327e-001
 9.69258106725215e+000    3.22772277227723e-001
 1.04046977707501e+001    3.17821782178218e-001
 1.09879567764989e+001    3.14851485148515e-001
 1.18599655199067e+001    3.11881188118812e-001
 1.25933319742255e+001    3.08910891089109e-001
 1.35187763481989e+001    3.05940594059406e-001
 1.43548269261843e+001    3.03960396039604e-001
 1.54941514434821e+001    3.01980198019802e-001
 1.64523664428331e+001    3.00000000000000e-001
 1.76615354367852e+001    2.98019801980198e-001
